No,Region,Country,Status,Active Since,Country Description,Visa Application,Eligibility,Length,Visa Cost,Required Proof of Income,Required Insurance,Latest Travel Restrictions,Estimated Cost of Living Per Month (USD),Average Internet Speed (Mbps)
1,Africa,Cape Verde (Cabo Verde),ACTIVE,May 2021,This beautiful archipelago in Africa established a ‘Cabo Verde Remote Working Program’ which serves as a temporary work/tourism visa for interested digital nomads or freelancers,https://www.remoteworkingcaboverde.com/en,"For people from Europe, North America, Community of Portuguese Speaking Countries (CPLP), and Economic Community of West African States (CEDEAO)","6 months, renewable for another 6 months",€20 visa fee and €34 airport fee,"Average monthly income of €1,500 (or €2,700 if bringing family)",Yes (purchase either from SafetyWing or HeyMondo),https://borderless.safetywing.com/cabo-verde?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,2300,15
2,Africa,Mauritius,ACTIVE,Nov 2020,"In order to offset the damage caused to tourism due to the wake of COVID-19, Mauritius launched its new ‘Premium Visa’ [link] that is designed for digital nomads, freelancers, entrepreneurs, and retirees.",https://www.edbmauritius.org/premium-visa/,"Certain nationalities can directly apply online, the rest must arrive on a tourist visa to Mauritius — once there, they can start their application online","1 year, renewable",0,"None, but your business and source of income should be outside Mauritius",Yes (purchase either from SafetyWing or HeyMondo),https://borderless.safetywing.com/mauritius?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,2300,20
3,Africa,Seychelles,ACTIVE,April 2021,"This beautiful African archipelago launched its own ‘Seychelles Workcation Program‘ that is pretty easy to apply for with a minimal fee.
It helps to note though that Seychelles already issues 3-month 
visa-free access to all citizens worldwide; but of course, if you want 
to stay for a year, this workcation program is great to avail.",https://workcation.seychelles.travel/,All nationalities,Maximum of 1 year,45€,"Not stated, but required to submit bank statements",Yes (purchase either from SafetyWing or HeyMondo),https://borderless.safetywing.com/seychelles?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,4400,25
4,Africa,South Africa,PENDING,,"Last February 2021, the Western Cape’s government started talks with the president as well as the Home Affairs minister to introduce a ‘Remote Working Visa’ [link] for South Africa. The City of Cape Town which has been voted as one of the “Best Places for Remote Working in 2021” has even made a comprehensive plan to attract even more digital nomads.",,All nationalities,3 months to 1 year,Unknown,Unknown,Unknown,https://borderless.safetywing.com/south-africa?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,1800,30
5,Asia & The Middle East,Dubai (UAE),ACTIVE,March 2021,"As one of the world’s fastest-growing remote working destinations, Dubai released its own one-year virtual working program that allows digital nomads or business owners — as well as employed individuals — the chance to live in its vibrant metropolis!",https://www.visitdubai.com/en/business-in-dubai/dubai-for-business/work-remotely-from-dubai,All nationalities,Maximum of 1 year,"application, processing, medical exam, and Emirates ID fees","Average $5,000 monthly income",Yes (purchase either from SafetyWing or HeyMondo),https://borderless.safetywing.com/united-arab-emirates?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,3500,130
6,Asia & The Middle East,Indonesia,PENDING,,"Back in 2021, Indonesia’s government announced that it will grant 5-year visas [link] with no taxation to digital nomads who have foreign-sourced income. Naturally, the country’s economy has been devastated ever since the start of the pandemic and they believe that this scheme will further help revitalize local tourism. Unfortunately, there is conflicting info regarding the details of the 
visa fee as well as the required income proof, with people saying that 
an applicant needs to make a $142,300 deposit — which is high, 
especially for starting digital nomads. Nevertheless, I’ll update this 
when new developments arise.",,All nationalities,5 years,Unknown,Unknown,Unknown,https://borderless.safetywing.com/indonesia?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,1400,20
7,Asia & The Middle East,Sri Lanka,PENDING,,,,All nationalities,Maximum of 1 year,500,Unknown,Unknown,https://borderless.safetywing.com/sri-lanka?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,800,20
8,Asia & The Middle East,Taiwan,ACTIVE,2018,"Taiwan does NOT have a visa that is designed especially for digital nomads but they do have the ‘Gold Card‘ open-end work permit that is applicable for professionals, freelancers, or self-employed individuals who can prove that they hold the required monthly income — if not hold a high-skilled profession in any of their 8 fields (e.g. lawyer, scientist, etc.)",https://goldcard.nat.gov.tw/en/,All nationalities,Open-end,$100 to $310 depending on your nationality and duration of stay,"$5,700 (otherwise, hold high skills)","No, it can be purchased later (purchase either from SafetyWing or HeyMondo)",https://borderless.safetywing.com/taiwan?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,2000,95
9,Asia & The Middle East,Thailand,PENDING,,"Thailand is a country coveted by many, not only due to its pristine beaches but also because of its history, sights, and food among many others. It’s also relatively easy to get tourist visa extensions — but if you want to stay for years without the added hassle, watch out for Thailand’s upcoming 5-year visa [link] for remote professionals that is categorized under their long-term residence visa (or LTR).",https://coconuts.co/bangkok/news/10-year-thai-visas-for-digital-nomads-flush-foreigners-get-cabinet-ok/,All nationalities,5 years (renewable for 5 more years),$300 annually,Unknown,Unknown,https://borderless.safetywing.com/thailand?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,1300,175
10,Europe,Croatia,ACTIVE,Jan 2021,"Croatia is a great place to live in when you’re in Europe and they are fortunately granting temporary residence permits for digital nomads [link]. You can apply for this while you’re in Croatia (if you can enter visa-free), through embassies abroad (if you need a visa to enter Croatia), or online.If you ask me, it’s wise to enter Croatia first (if you don’t need a visa to enter the country) so that you can already stay there for 90 days, plus 12 months once you get the digital nomad temporary residence permit.",https://digitalnomadscroatia.mup.hr/Pages/Zahtjev2,For non-EU nationals,"1 year maximum, non-renewable",Around €80 to €130,"€2,240 or €27,000 in savings (an additional 10% is required per partner or family member)",Yes (purchase either from SafetyWing or HeyMondo),https://borderless.safetywing.com/croatia?referenceID=iamaileen&utm_source=iamaileen&utm_medium=Ambassador,2000,38
